                   MONTHLY CLIMATOLOGICAL SUMMARY for Jun 2019


NAME: EastGRIP                  
ELEV: 2458 meters    LAT: 75-38.05 N    LONG: 036-00.22 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (knots)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01  -17.8  -11.3  14:57  -23.9  02:11   36.1    0.0    0.0    3.9    7.8  02:17    253
 02  -19.4  -13.6  17:23  -25.4  01:36   37.7    0.0    0.0    5.0   11.3  08:16    229
 03  -17.4  -12.8  15:06  -24.6  01:48   35.7    0.0    0.0    5.1   11.3  18:11    291
 04  -16.6  -13.3  17:26  -22.1  23:57   35.0    0.0    0.0    7.7   17.4  10:56    280
 05  -18.1  -13.6  15:17  -24.0  03:00   36.4    0.0    0.0    6.1   14.8  12:07    271
 06  -19.1  -13.2  17:29  -25.7  01:00   37.5    0.0    0.0    5.8   12.2  14:27    229
 07  -13.7   -8.8  15:55  -22.3  00:24   32.1    0.0    0.0    5.8   12.2  05:29    260
 08   -5.9   -2.6  17:06  -11.3  00:00   24.2    0.0    0.0    6.0   17.4  19:00    248
 09   -8.2   -5.2  15:08  -12.8  22:35   26.5    0.0    0.0    9.9   20.9  03:39    249
 10  -10.1   -7.5  14:58  -13.6  02:07   28.5    0.0    0.0    4.9   10.4  00:32    273
 11   -9.7   -6.2  16:09  -15.8  03:07   28.0    0.0    0.0    9.1   20.0  11:22    248
 12   -5.3    0.4  17:17  -13.6  02:04   23.7    0.0    0.0   10.1   19.1  01:22    238
 13   -4.1   -0.6  14:02   -8.7  01:44   22.4    0.0    0.0    6.6   13.9  02:17    198
 14   -6.8   -5.1  15:20  -11.7  23:57   25.1    0.0    0.0    8.5   17.4  11:13    235
 15   -7.9   -4.8  06:15  -12.3  01:08   26.3    0.0    0.0    9.2   20.9  10:06    240
 16  -10.8   -7.6  14:18  -17.5  02:44   29.1    0.0    0.0    6.7   17.4  11:09    305
 17  -10.3   -8.3  12:09  -13.2  23:58   28.7    0.0    0.0    6.4   13.0  18:57    314
 18  -12.7   -9.7  15:16  -19.5  23:58   31.0    0.0    0.0    6.8   12.2  13:22    260
 19  -13.5   -5.9  16:52  -21.4  03:34   31.8    0.0    0.0    7.9   15.6  15:21    252
 20   -7.3   -3.7  16:19  -11.0  05:46   25.6    0.0    0.0   11.1   17.4  10:36    232
 21   -8.6   -5.5  12:46  -12.9  23:59   26.9    0.0    0.0   10.7   20.9  13:18    217
 22   -9.3   -5.1  16:24  -14.0  02:50   27.6    0.0    0.0   11.8   19.1  15:19    203
 23  -12.4   -8.6  00:45  -17.3  23:59   30.7    0.0    0.0   12.5   28.7  11:15    252
 24  -12.7   -8.4  17:55  -19.3  03:16   31.1    0.0    0.0    9.9   16.5  11:19    241
 25  -10.0   -7.3  18:10  -15.1  23:59   28.4    0.0    0.0   10.3   19.1  12:05    258
 26  -11.3   -7.2  15:02  -17.0  02:30   29.6    0.0    0.0    5.6   13.9  04:39    249
 27  -11.4   -9.8  14:13  -14.0  08:11   29.7    0.0    0.0    7.8   16.5  06:14     26
 28   -7.8   -4.3  14:28  -11.1  23:58   26.1    0.0    0.0    8.3   20.9  10:00     16
 29   -8.5   -5.2  12:41  -13.9  23:30   26.8    0.0    0.0    7.6   13.9  09:18    308
 30  -10.0   -6.1  15:37  -16.0  01:50   28.4    0.0    0.0    8.5   14.8  11:53    330
---------------------------------------------------------------------------------------
     -11.2    0.4     12  -25.7     06  886.6    0.0    0.0    7.9   28.7     23    256
    

