"TOA5","77558","CR1000","77558","CR1000.Std.32.03","CPU:Radiation albedo stand CR1000.CR1","36301","Table207"
"TIMESTAMP","RECORD","GLOB_fix_Avg","SW_fix_Avg","LWout_fix_Avg","T_CG4in_Avg(1)","T_CH1_Avg","GLOB_fix_Max","SW_fix_Max","LWout_fix_Max","GLOB_fix_Min","SW_fix_Min","LWout_fix_Min","GLOB_fix_Std","SW_fix_Std","LWout_fix_Std","T_Logger"
"TS","RN","","","","","","","","","","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Max","Max","Max","Min","Min","Min","Std","Std","Std","Smp"
"2019-03-25 19:39:00",209238,0.251,0.292,-0.097,"NAN","NAN",0.257,0.301,-0.097,0.244,0.284,-0.097,0.004,0.005,0,0
"2019-03-25 19:40:00",209239,0.246,0.277,-0.098,"NAN","NAN",0.251,0.281,-0.094,0.237,0.271,-0.1,0.004,0.003,0.003,0
"2019-03-25 19:41:00",209240,0.24,0.266,-0.098,"NAN","NAN",0.251,0.281,-0.097,0.237,0.261,-0.1,0.004,0.006,0.002,0
"2019-03-25 19:42:00",209241,0.236,0.264,-0.096,"NAN","NAN",0.241,0.271,-0.094,0.231,0.254,-0.1,0.003,0.005,0.002,0
"2019-03-25 19:43:00",209242,0.232,0.259,-0.094,"NAN","NAN",0.237,0.264,-0.094,0.227,0.254,-0.094,0.003,0.004,0,0
"2019-03-25 19:44:00",209243,0.224,0.25,-0.094,"NAN","NAN",0.227,0.254,-0.094,0.224,0.247,-0.097,0.001,0.003,0.001,0
"2019-03-25 19:45:00",209244,0.221,0.248,-0.095,"NAN","NAN",0.224,0.251,-0.094,0.217,0.244,-0.097,0.003,0.002,0.002,0
"2019-03-25 19:46:00",209245,0.221,0.246,-0.094,"NAN","NAN",0.224,0.254,-0.094,0.217,0.241,-0.097,0.003,0.005,0.001,0
"2019-03-25 19:47:00",209246,0.217,0.241,-0.093,"NAN","NAN",0.217,0.241,-0.09,0.214,0.241,-0.094,0.001,0,0.001,0
"2019-03-25 19:48:00",209247,0.211,0.237,-0.091,"NAN","NAN",0.214,0.241,-0.09,0.211,0.234,-0.094,0.001,0.002,0.001,0
"2019-03-25 19:49:00",209248,0.208,0.232,-0.091,"NAN","NAN",0.211,0.234,-0.09,0.204,0.227,-0.094,0.003,0.003,0.001,0
"2019-03-25 19:50:00",209249,0.204,0.226,-0.089,"NAN","NAN",0.207,0.231,-0.087,0.201,0.224,-0.094,0.001,0.002,0.002,0
"2019-03-25 19:51:00",209250,0.199,0.222,-0.09,"NAN","NAN",0.204,0.227,-0.087,0.197,0.217,-0.09,0.003,0.003,0.001,0
"2019-03-25 19:52:00",209251,0.198,0.22,-0.087,"NAN","NAN",0.204,0.224,-0.084,0.197,0.217,-0.09,0.002,0.002,0.002,0
"2019-03-25 19:53:00",209252,0.197,0.218,-0.087,"NAN","NAN",0.197,0.221,-0.084,0.194,0.214,-0.087,0.001,0.003,0.001,0
"2019-03-25 19:54:00",209253,0.193,0.216,-0.084,"NAN","NAN",0.197,0.221,-0.084,0.191,0.214,-0.087,0.003,0.002,0.001,0
"2019-03-25 19:55:00",209254,0.197,0.219,-0.086,"NAN","NAN",0.197,0.221,-0.084,0.197,0.217,-0.087,0,0.002,0.002,0
"2019-03-25 19:56:00",209255,0.191,0.213,-0.084,"NAN","NAN",0.197,0.217,-0.08,0.191,0.211,-0.087,0.001,0.002,0.003,0
"2019-03-25 19:57:00",209256,0.191,0.213,-0.086,"NAN","NAN",0.191,0.217,-0.084,0.191,0.211,-0.087,0,0.002,0.001,0
"2019-03-25 19:58:00",209257,0.192,0.216,-0.083,"NAN","NAN",0.197,0.221,-0.08,0.191,0.214,-0.087,0.002,0.002,0.003,0
"2019-03-25 19:59:00",209258,0.196,0.221,-0.083,"NAN","NAN",0.197,0.221,-0.08,0.194,0.221,-0.084,0.002,0,0.001,0
"2019-03-25 20:00:00",209259,0.196,0.222,-0.083,"NAN","NAN",0.204,0.227,-0.08,0.191,0.217,-0.084,0.005,0.004,0.001,0
"2019-03-25 20:01:00",209260,0.198,0.227,-0.084,"NAN","NAN",0.204,0.227,-0.084,0.197,0.227,-0.087,0.002,0,0.001,0
"2019-03-25 20:02:00",209261,0.205,0.233,-0.082,"NAN","NAN",0.211,0.237,-0.08,0.197,0.227,-0.084,0.003,0.003,0.002,0
"2019-03-25 20:03:00",209262,0.211,0.24,-0.081,"NAN","NAN",0.211,0.241,-0.08,0.211,0.237,-0.084,0,0.001,0.002,0
"2019-03-25 20:04:00",209263,0.219,0.25,-0.082,"NAN","NAN",0.224,0.254,-0.08,0.211,0.244,-0.084,0.003,0.003,0.002,0
"2019-03-25 20:05:00",209264,0.224,0.257,-0.084,"NAN","NAN",0.231,0.261,-0.084,0.217,0.254,-0.087,0.003,0.003,0.001,0
"2019-03-25 20:06:00",209265,0.228,0.263,-0.083,"NAN","NAN",0.237,0.274,-0.08,0.224,0.261,-0.084,0.004,0.004,0.001,0
"2019-03-25 20:07:00",209266,0.237,0.275,-0.081,"NAN","NAN",0.237,0.277,-0.08,0.237,0.274,-0.084,0,0.002,0.002,0
"2019-03-25 20:08:00",209267,0.245,0.283,-0.081,"NAN","NAN",0.251,0.291,-0.08,0.237,0.274,-0.084,0.005,0.005,0.001,0
