                   MONTHLY CLIMATOLOGICAL SUMMARY for Jul 2019


NAME: EastGRIP                  
ELEV: 2458 meters    LAT: 75-38.05 N    LONG: 036-00.22 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (knots)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   -7.2   -5.1  13:10  -10.7  01:48   25.6    0.0    0.0   10.7   20.0  20:29     21
 02   -8.1   -4.8  14:33   -9.7  00:00   26.4    0.0    0.0    5.3   16.5  01:10     31
 03   -8.1   -6.0  06:37  -13.3  22:05   26.5    0.0    0.0    5.3   11.3  15:07    265
 04   -7.8   -5.2  16:25  -10.4  06:25   26.1    0.0    0.0    6.8   15.6  21:22    262
 05   -8.3   -4.9  17:29  -15.7  23:05   26.7    0.0    0.0    4.8   16.5  05:17    297
 06  -10.1   -7.2  16:23  -16.9  23:59   28.4    0.0    0.0    7.0   15.6  05:01    305
 07  -10.6   -0.8  13:39  -18.7  03:04   28.9    0.0    0.0    3.2    8.7  05:29    259
 08   -8.5   -4.7  17:43  -15.2  01:20   26.8    0.0    0.0    8.0   14.8  10:47    236
 09   -4.3   -1.5  13:17   -8.4  00:00   22.6    0.0    0.0    7.4   16.5  09:11    255
 10   -4.9   -4.1  15:14   -6.4  23:57   23.3    0.0    0.0    5.3   14.8  14:40    244
 11   -9.0   -6.4  00:00  -10.9  23:53   27.3    0.0    0.0    8.8   17.4  01:40    324
 12  -10.7   -6.7  16:02  -17.3  00:00   29.1    0.0    0.0    8.7   19.1  12:13    268
 13  -13.6   -7.5  16:20  -19.4  02:06   31.9    0.0    0.0    5.4   13.0  05:47    273
 14  -10.1   -3.4  15:02  -20.7  03:02   28.5    0.0    0.0    6.4   11.3  07:51    279
 15  -12.2   -8.1  15:48  -17.2  23:58   30.5    0.0    0.0    9.3   20.0  11:24    240
 16  -12.9   -7.2  15:19  -18.4  02:13   31.3    0.0    0.0    7.2   12.2  06:14    259
 17  -12.7   -7.8  14:30  -19.3  02:15   31.1    0.0    0.0    7.8   17.4  23:42    252
 18   -6.8   -4.3  14:17  -11.7  01:12   25.1    0.0    0.0   11.0   20.9  02:57    280
 19   -5.8    0.1  14:44  -13.3  03:11   24.2    0.0    0.0   10.6   20.9  14:07    235
 20   -6.4   -1.3  14:20  -12.2  22:56   24.8    0.0    0.0    8.1   19.1  13:58    239
 21   -5.0   -2.4  18:18  -10.5  00:38   23.3    0.0    0.0    9.6   26.1  23:59    234
 22   -8.5   -3.7  00:00  -11.4  23:21   26.8    0.0    0.0   12.2   33.0  04:22    300
 23  -10.7   -8.9  18:15  -12.9  08:46   29.0    0.0    0.0    9.8   16.5  14:03    266
 24  -10.5   -7.3  16:55  -15.9  23:42   28.8    0.0    0.0    8.3   13.0  02:49    275
 25  -12.7   -7.4  15:40  -18.3  03:01   31.0    0.0    0.0    5.7   10.4  04:17    294
 26  -13.6   -7.9  15:09  -20.5  03:13   31.9    0.0    0.0    5.1   13.9  23:43    233
 27  -11.3   -6.0  15:31  -17.9  02:35   29.7    0.0    0.0    6.9   15.6  06:15    188
 28   -7.3   -2.9  14:35  -12.6  00:00   25.7    0.0    0.0    7.8   16.5  19:29    179
 29   -6.8    0.1  17:07  -13.2  06:20   25.1    0.0    0.0    9.9   19.1  17:07    193
 30   -2.4    1.3  14:16   -6.7  23:56   20.7    0.0    0.0   10.7   20.0  01:42    212
 31   -4.0   -0.3  15:34   -8.5  23:59   22.3    0.0    0.0   10.0   15.6  06:17    225
---------------------------------------------------------------------------------------
      -8.7    1.3     30  -20.7     14  839.3    0.0    0.0    7.8   33.0     22    256
    

