"TOA5","77558","CR1000","77558","CR1000.Std.32.03","CPU:Radiation albedo stand CR1000.CR1","36301","Table207"
"TIMESTAMP","RECORD","GLOB_fix_Avg","SW_fix_Avg","LWout_fix_Avg","T_CG4in_Avg(1)","T_CH1_Avg","GLOB_fix_Max","SW_fix_Max","LWout_fix_Max","GLOB_fix_Min","SW_fix_Min","LWout_fix_Min","GLOB_fix_Std","SW_fix_Std","LWout_fix_Std","T_Logger"
"TS","RN","","","","","","","","","","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Max","Max","Max","Min","Min","Min","Std","Std","Std","Smp"
"2019-02-19 12:55:00",180325,0.564,0.617,-0.13,"NAN","NAN",0.585,0.622,-0.127,0.548,0.612,-0.13,0.012,0.004,0.001,0
"2019-02-19 12:56:00",180326,0.596,0.628,-0.133,"NAN","NAN",0.615,0.635,-0.127,0.585,0.622,-0.134,0.01,0.005,0.002,0
"2019-02-19 12:57:00",180327,0.585,0.635,-0.135,"NAN","NAN",0.612,0.635,-0.13,0.572,0.635,-0.137,0.014,0,0.002,0
"2019-02-19 12:58:00",180328,0.575,0.639,-0.137,"NAN","NAN",0.578,0.642,-0.137,0.572,0.635,-0.137,0.003,0.002,0,0
"2019-02-19 12:59:00",180329,0.587,0.643,-0.14,"NAN","NAN",0.602,0.645,-0.137,0.578,0.642,-0.14,0.009,0.002,0.001,0
"2019-02-19 13:00:00",180330,0.586,0.646,-0.14,"NAN","NAN",0.598,0.649,-0.14,0.575,0.645,-0.14,0.007,0.001,0,0
"2019-02-19 13:01:00",180331,0.572,0.65,-0.14,"NAN","NAN",0.572,0.652,-0.14,0.572,0.649,-0.14,0,0.002,0,0
"2019-02-19 13:02:00",180332,0.578,0.66,-0.14,"NAN","NAN",0.585,0.665,-0.14,0.572,0.655,-0.14,0.003,0.003,0,0
"2019-02-19 13:03:00",180333,0.587,0.669,-0.141,"NAN","NAN",0.592,0.672,-0.14,0.585,0.665,-0.144,0.003,0.003,0.001,0
"2019-02-19 13:04:00",180334,0.592,0.672,-0.14,"NAN","NAN",0.592,0.675,-0.14,0.592,0.672,-0.14,0,0.001,0,0
"2019-02-19 13:05:00",180335,0.592,0.675,-0.143,"NAN","NAN",0.592,0.675,-0.14,0.588,0.672,-0.147,0.001,0.001,0.002,0
"2019-02-19 13:06:00",180336,0.592,0.675,-0.146,"NAN","NAN",0.592,0.675,-0.14,0.588,0.675,-0.147,0.001,0,0.002,0
"2019-02-19 13:07:00",180337,0.592,0.675,-0.147,"NAN","NAN",0.595,0.679,-0.147,0.592,0.672,-0.147,0.001,0.002,0,0
"2019-02-19 13:08:00",180338,0.59,0.669,-0.147,"NAN","NAN",0.592,0.672,-0.147,0.585,0.665,-0.147,0.003,0.003,0,0
"2019-02-19 13:09:00",180339,0.582,0.658,-0.147,"NAN","NAN",0.585,0.665,-0.147,0.578,0.652,-0.15,0.003,0.005,0.001,0
"2019-02-19 13:10:00",180340,0.57,0.64,-0.148,"NAN","NAN",0.578,0.649,-0.147,0.565,0.632,-0.15,0.005,0.006,0.001,0
"2019-02-19 13:11:00",180341,0.555,0.622,-0.15,"NAN","NAN",0.565,0.632,-0.147,0.552,0.612,-0.154,0.004,0.005,0.002,0
"2019-02-19 13:12:00",180342,0.545,0.606,-0.154,"NAN","NAN",0.552,0.612,-0.15,0.538,0.598,-0.154,0.005,0.005,0.001,0
"2019-02-19 13:13:00",180343,0.53,0.593,-0.154,"NAN","NAN",0.538,0.598,-0.154,0.525,0.588,-0.154,0.004,0.004,0,0
"2019-02-19 13:14:00",180344,0.527,0.582,-0.158,"NAN","NAN",0.532,0.585,-0.154,0.525,0.575,-0.16,0.003,0.003,0.003,0
"2019-02-19 13:15:00",180345,0.522,0.571,-0.161,"NAN","NAN",0.525,0.575,-0.16,0.518,0.565,-0.164,0.003,0.003,0.001,0
"2019-02-19 13:16:00",180346,0.518,0.565,-0.166,"NAN","NAN",0.528,0.565,-0.164,0.512,0.565,-0.167,0.007,0,0.001,0
"2019-02-19 13:17:00",180347,0.52,0.566,-0.168,"NAN","NAN",0.525,0.568,-0.167,0.512,0.565,-0.174,0.005,0.001,0.002,0
"2019-02-19 13:18:00",180348,0.529,0.573,-0.174,"NAN","NAN",0.532,0.578,-0.174,0.525,0.568,-0.174,0.003,0.003,0,0
"2019-02-19 13:19:00",180349,0.546,0.587,-0.174,"NAN","NAN",0.552,0.592,-0.174,0.532,0.578,-0.177,0.006,0.004,0.001,0
"2019-02-19 13:20:00",180350,0.58,0.601,-0.176,"NAN","NAN",0.612,0.605,-0.174,0.552,0.592,-0.181,0.019,0.004,0.002,0
"2019-02-19 13:21:00",180351,0.584,0.605,-0.179,"NAN","NAN",0.608,0.605,-0.177,0.572,0.605,-0.181,0.012,0,0.002,0
"2019-02-19 13:22:00",180352,0.562,0.604,-0.181,"NAN","NAN",0.578,0.605,-0.181,0.545,0.602,-0.181,0.012,0.002,0,0
"2019-02-19 13:23:00",180353,0.549,0.599,-0.181,"NAN","NAN",0.552,0.602,-0.181,0.545,0.598,-0.181,0.003,0.001,0,0
"2019-02-19 13:24:00",180354,0.552,0.598,-0.181,"NAN","NAN",0.558,0.598,-0.181,0.542,0.598,-0.181,0.005,0,0,0
