Station:         SMT
Latitude:        72.5797
Longitude:       -38.4604
Altitude:        3216.5
SW version:      MW41 2.8.0

Start time:      8/2/2019 11:17:45 PM

    Time	  Height	Pressure	    Temp	Humidity	    WDir	  WSpeed	     Lat	     Lon
     0.0	    3216	   693.6	   -10.5	    71.2	   171.0	     2.2	 72.5797	-38.4604
    13.0	    3223	   692.7	    -7.0	    39.1	   187.3	     1.2	 72.5810	-38.4595
    14.0	    3231	   692.3	    -3.9	    30.9	   188.1	     1.2	 72.5810	-38.4595
    15.0	    3236	   691.9	    -3.3	    31.1	   189.0	     1.2	 72.5810	-38.4596
    16.0	    3241	   691.5	    -3.2	    38.2	   190.1	     1.3	 72.5811	-38.4597
    17.0	    3248	   691.0	    -3.1	    46.0	   191.3	     1.3	 72.5811	-38.4597
    18.0	    3252	   690.6	    -3.1	    52.4	   192.6	     1.3	 72.5811	-38.4596
    19.0	    3256	   690.2	    -3.1	    58.2	   194.0	     1.3	 72.5811	-38.4595
    20.0	    3260	   689.8	    -3.1	    57.8	   195.3	     1.3	 72.5811	-38.4594
    21.0	    3264	   689.4	    -3.0	    53.7	   196.7	     1.4	 72.5811	-38.4593
    22.0	    3268	   689.0	    -3.0	    52.0	   198.1	     1.4	 72.5810	-38.4593
    23.0	    3273	   688.6	    -2.9	    51.1	   199.6	     1.4	 72.5810	-38.4592
    24.0	    3278	   688.2	    -2.9	    47.7	   201.2	     1.4	 72.5810	-38.4593
    25.0	    3283	   687.7	    -2.8	    41.4	   202.9	     1.4	 72.5810	-38.4594
    26.0	    3289	   687.3	    -2.8	    36.8	   204.6	     1.4	 72.5811	-38.4594
    27.0	    3294	   686.9	    -2.8	    35.2	   206.3	     1.4	 72.5811	-38.4594
    28.0	    3298	   686.5	    -2.8	    37.3	   207.9	     1.4	 72.5812	-38.4594
    29.0	    3302	   686.0	    -2.8	    42.0	   209.4	     1.4	 72.5812	-38.4593
    30.0	    3307	   685.6	    -2.9	    47.4	   210.8	     1.3	 72.5812	-38.4592
    31.0	    3313	   685.1	    -2.9	    50.8	   212.1	     1.3	 72.5813	-38.4591
    32.0	    3320	   684.6	    -2.9	    51.4	   213.4	     1.3	 72.5813	-38.4591
    33.0	    3325	   684.2	    -3.0	    50.4	   214.5	     1.3	 72.5813	-38.4592
    34.0	    3331	   683.7	    -3.0	    49.0	   215.6	     1.3	 72.5813	-38.4593
    35.0	    3336	   683.3	    -3.0	    47.6	   216.4	     1.3	 72.5813	-38.4594
    36.0	    3342	   682.8	    -3.0	    47.1	   217.1	     1.3	 72.5813	-38.4593
    37.0	    3346	   682.4	    -3.0	    48.3	   217.5	     1.2	 72.5813	-38.4592
    38.0	    3349	   682.0	    -3.0	    51.0	   217.6	     1.2	 72.5813	-38.4590
    39.0	    3354	   681.6	    -3.1	    54.6	   217.5	     1.2	 72.5813	-38.4589
    40.0	    3360	   681.1	    -3.1	    57.6	   217.1	     1.2	 72.5813	-38.4587
    41.0	    3364	   680.7	    -3.2	    58.5	   216.4	     1.2	 72.5813	-38.4586
    42.0	    3369	   680.3	    -3.2	    56.5	   215.4	     1.2	 72.5812	-38.4586
    43.0	    3375	   679.8	    -3.1	    52.7	   214.1	     1.2	 72.5812	-38.4586
    44.0	    3380	   679.4	    -3.1	    49.6	   212.5	     1.2	 72.5812	-38.4587
    45.0	    3385	   678.9	    -3.1	    49.4	   210.7	     1.2	 72.5813	-38.4588
    46.0	    3391	   678.4	    -3.1	    52.2	   208.7	     1.2	 72.5813	-38.4588
    47.0	    3397	   677.9	    -3.2	    56.1	   206.5	     1.2	 72.5813	-38.4588
    48.0	    3401	   677.4	    -3.2	    58.7	   204.3	     1.2	 72.5814	-38.4587
    49.0	    3408	   676.9	    -3.2	    59.9	   202.1	     1.2	 72.5814	-38.4585
    50.0	    3416	   676.4	    -3.3	    60.8	   199.9	     1.2	 72.5814	-38.4584
    51.0	    3422	   675.9	    -3.3	    62.5	   197.7	     1.2	 72.5814	-38.4584
    52.0	    3427	   675.4	    -3.4	    64.8	   195.5	     1.3	 72.5814	-38.4585
    53.0	    3433	   674.9	    -3.4	    66.5	   193.4	     1.3	 72.5814	-38.4587
    54.0	    3439	   674.4	    -3.5	    66.7	   191.5	     1.3	 72.5814	-38.4588
