Station:         SMT
Latitude:        72.5797
Longitude:       -38.4604
Altitude:        3216.5
SW version:      MW41 2.8.0

Start time:      8/4/2019 11:18:49 AM

    Time	  Height	Pressure	    Temp	Humidity	    WDir	  WSpeed	     Lat	     Lon
     0.0	    3216	   690.6	   -11.9	    87.9	   143.0	     3.8	 72.5797	-38.4604
     2.9	    3223	   690.0	   -11.2	    88.9	   170.0	     4.3	 72.5810	-38.4596
     3.9	    3230	   689.4	   -10.6	    88.7	   170.0	     4.5	 72.5811	-38.4597
     4.9	    3237	   688.8	    -9.5	    86.8	   169.5	     4.8	 72.5811	-38.4598
     5.9	    3242	   688.3	    -8.1	    82.0	   169.2	     5.0	 72.5812	-38.4599
     6.9	    3245	   688.0	    -7.2	    76.2	   169.1	     5.2	 72.5813	-38.4599
     7.9	    3249	   687.5	    -6.7	    72.5	   169.1	     5.4	 72.5813	-38.4598
     8.9	    3255	   687.0	    -6.5	    70.0	   169.2	     5.6	 72.5814	-38.4598
     9.9	    3263	   686.5	    -6.3	    69.1	   169.4	     5.8	 72.5815	-38.4599
    10.9	    3270	   686.0	    -6.1	    69.0	   169.6	     5.9	 72.5816	-38.4600
    11.9	    3275	   685.5	    -5.9	    68.2	   169.8	     6.1	 72.5817	-38.4601
    12.9	    3280	   685.0	    -5.8	    65.8	   170.1	     6.2	 72.5817	-38.4602
    13.9	    3284	   684.5	    -5.7	    62.8	   170.4	     6.3	 72.5818	-38.4603
    14.9	    3288	   684.0	    -5.6	    60.6	   170.7	     6.4	 72.5818	-38.4602
    15.9	    3295	   683.5	    -5.6	    58.9	   171.1	     6.4	 72.5819	-38.4602
    16.9	    3302	   683.0	    -5.5	    57.5	   171.5	     6.5	 72.5820	-38.4602
    17.9	    3309	   682.5	    -5.5	    56.5	   171.9	     6.5	 72.5820	-38.4602
    18.9	    3314	   682.0	    -5.4	    56.7	   172.4	     6.6	 72.5820	-38.4603
    19.9	    3321	   681.4	    -5.4	    58.1	   172.9	     6.6	 72.5821	-38.4605
    20.9	    3327	   680.9	    -5.4	    60.5	   173.4	     6.6	 72.5821	-38.4606
    21.9	    3333	   680.4	    -5.3	    62.8	   174.0	     6.6	 72.5822	-38.4607
    22.9	    3339	   679.9	    -5.3	    64.3	   174.6	     6.6	 72.5822	-38.4607
    23.9	    3346	   679.3	    -5.4	    65.0	   175.1	     6.6	 72.5823	-38.4606
    24.9	    3351	   678.8	    -5.4	    65.3	   175.7	     6.6	 72.5823	-38.4605
    25.9	    3357	   678.3	    -5.4	    65.4	   176.2	     6.6	 72.5824	-38.4604
    26.9	    3362	   677.9	    -5.5	    65.4	   176.8	     6.5	 72.5825	-38.4605
    27.9	    3369	   677.4	    -5.5	    65.1	   177.3	     6.5	 72.5826	-38.4605
    28.9	    3373	   676.9	    -5.5	    64.7	   177.8	     6.5	 72.5826	-38.4606
    29.9	    3378	   676.5	    -5.5	    64.2	   178.3	     6.4	 72.5826	-38.4607
    30.9	    3384	   676.0	    -5.5	    63.8	   178.8	     6.4	 72.5827	-38.4606
    31.9	    3388	   675.6	    -5.5	    63.3	   179.2	     6.4	 72.5827	-38.4605
    32.9	    3393	   675.2	    -5.5	    63.0	   179.5	     6.3	 72.5828	-38.4604
    33.9	    3398	   674.8	    -5.5	    62.8	   179.9	     6.3	 72.5828	-38.4603
    34.9	    3402	   674.4	    -5.5	    62.5	   180.2	     6.2	 72.5829	-38.4602
    35.9	    3407	   673.9	    -5.5	    62.2	   180.5	     6.1	 72.5830	-38.4602
    36.9	    3411	   673.5	    -5.5	    61.7	   180.8	     6.1	 72.5831	-38.4603
    37.9	    3416	   673.1	    -5.5	    60.9	   181.1	     6.0	 72.5832	-38.4603
    38.9	    3422	   672.6	    -5.5	    59.8	   181.4	     5.9	 72.5832	-38.4604
    39.9	    3429	   672.1	    -5.5	    58.7	   181.7	     5.9	 72.5833	-38.4604
    40.9	    3435	   671.6	    -5.5	    57.5	   181.9	     5.8	 72.5833	-38.4604
    41.9	    3440	   671.1	    -5.6	    56.2	   182.2	     5.7	 72.5833	-38.4603
    42.9	    3449	   670.6	    -5.5	    54.9	   182.4	     5.6	 72.5834	-38.4602
    43.9	    3456	   670.1	    -5.5	    53.7	   182.8	     5.5	 72.5834	-38.4602
    44.9	    3458	   669.7	    -5.5	    52.8	   183.1	     5.4	 72.5835	-38.4603
    45.9	    3461	   669.3	    -5.5	    52.7	   183.5	     5.3	 72.5836	-38.4604
    46.9	    3465	   668.8	    -5.5	    53.4	   183.9	     5.2	 72.5836	-38.4605
    47.9	    3471	   668.4	    -5.5	    55.1	   184.4	     5.1	 72.5836	-38.4606
    48.9	    3476	   668.0	    -5.5	    57.4	   185.0	     5.0	 72.5837	-38.4605
    49.9	    3483	   667.5	    -5.5	    59.6	   185.6	     4.9	 72.5837	-38.4605
    50.9	    3488	   667.1	    -5.5	    60.9	   186.3	     4.9	 72.5838	-38.4604
    51.9	    3493	   666.6	    -5.5	    61.1	   187.1	     4.8	 72.5838	-38.4603
    52.9	    3500	   666.2	    -5.5	    60.9	   187.9	     4.7	 72.5839	-38.4603
